panel_name,cell,mean_study_pct,sd_study_pct,n_studies
top_10,TN,88.0,26.832815729997478,5
top_10,FP,12.0,26.832815729997478,5
top_10,FN,11.11111111111111,21.872244094477253,5
top_10,TP,88.88888888888889,21.872244094477253,5
top_25,TN,87.48717948717949,26.569349051251372,5
top_25,FP,12.512820512820513,26.569349051251372,5
top_25,FN,3.111111111111111,4.540625942600567,5
top_25,TP,96.88888888888889,4.540625942600567,5
top_50,TN,88.0,26.832815729997478,5
top_50,FP,12.0,26.832815729997478,5
top_50,FN,0.0,0.0,5
top_50,TP,100.0,0.0,5
